,t,id,age,parent_ring,theta1,theta2
435,3,3,8,0,8.71238898038469,10.283185307179586
436,3,0,9,1,2.0,2.7853981633974483
437,3,1,7,1,2.7853981633974483,3.5707963267948966
438,3,2,0,1,3.5707963267948966,4.356194490192345
439,3,3,8,1,4.356194490192345,5.141592653589793
440,3,4,7,1,5.141592653589793,5.926990816987241
441,3,5,7,1,5.926990816987241,6.71238898038469
442,3,6,6,1,6.71238898038469,7.497787143782138
443,3,7,6,1,7.497787143782138,8.283185307179586
444,3,0,10,2,1.3333333333333333,1.8569321089316322
445,3,1,9,2,1.8569321089316322,2.380530884529931
446,3,2,8,2,2.380530884529931,2.9041296601282296
447,3,3,8,2,2.9041296601282296,3.4277284357265287
448,3,4,7,2,3.4277284357265287,3.951327211324827
449,3,5,7,2,3.951327211324827,4.474925986923126
450,3,6,7,2,4.474925986923126,4.998524762521425
451,3,7,7,2,4.998524762521425,5.522123538119724
452,3,8,9,2,5.522123538119724,6.045722313718023
453,3,9,7,2,6.045722313718023,6.569321089316322
454,3,10,7,2,6.569321089316321,7.09291986491462
455,3,11,9,2,7.09291986491462,7.616518640512919
456,3,0,7,3,1.0,1.3926990816987241
457,3,1,9,3,1.3926990816987241,1.7853981633974483
458,3,2,10,3,1.7853981633974483,2.1780972450961724
459,3,3,9,3,2.1780972450961724,2.5707963267948966
460,3,4,8,3,2.5707963267948966,2.9634954084936207
461,3,5,9,3,2.9634954084936207,3.356194490192345
462,3,6,6,3,3.356194490192345,3.748893571891069
463,3,7,7,3,3.748893571891069,4.141592653589793
464,3,8,7,3,4.141592653589793,4.534291735288518
465,3,9,6,3,4.534291735288518,4.926990816987241
466,3,10,7,3,4.926990816987241,5.319689898685965
467,3,11,8,3,5.319689898685965,5.71238898038469
468,3,12,7,3,5.71238898038469,6.105088062083414
469,3,13,6,3,6.105088062083414,6.497787143782139
470,3,14,7,3,6.497787143782138,6.890486225480862
471,3,15,8,3,6.890486225480862,7.283185307179586
472,3,0,10,4,0.8,1.1141592653589794
473,3,1,8,4,1.1141592653589794,1.4283185307179587
474,3,2,0,4,1.4283185307179587,1.742477796076938
475,3,3,9,4,1.742477796076938,2.056637061435917
476,3,4,7,4,2.056637061435917,2.3707963267948964
477,3,5,7,4,2.3707963267948964,2.6849555921538757
478,3,6,9,4,2.6849555921538757,2.999114857512855
479,3,7,7,4,2.999114857512855,3.3132741228718343
480,3,8,7,4,3.3132741228718343,3.6274333882308136
481,3,9,0,4,3.6274333882308136,3.941592653589793
482,3,10,8,4,3.941592653589793,4.255751918948772
483,3,11,7,4,4.255751918948772,4.569911184307752
484,3,12,9,4,4.569911184307752,4.884070449666731
485,3,13,0,4,4.884070449666731,5.19822971502571
486,3,14,8,4,5.19822971502571,5.5123889803846895
487,3,15,8,4,5.5123889803846895,5.826548245743669
488,3,16,6,4,5.826548245743669,6.140707511102648
489,3,17,7,4,6.140707511102648,6.454866776461627
490,3,18,7,4,6.454866776461627,6.769026041820607
491,3,19,7,4,6.769026041820607,7.083185307179586
492,3,0,0,5,0.6666666666666666,0.9284660544658161
493,3,1,9,5,0.9284660544658161,1.1902654422649654
494,3,2,9,5,1.1902654422649654,1.4520648300641148
495,3,3,8,5,1.4520648300641148,1.7138642178632644
496,3,4,7,5,1.7138642178632644,1.9756636056624135
497,3,5,10,5,1.9756636056624135,2.237462993461563
498,3,6,6,5,2.237462993461563,2.4992623812607127
499,3,7,9,5,2.4992623812607127,2.761061769059862
500,3,8,8,5,2.761061769059862,3.0228611568590114
501,3,9,9,5,3.0228611568590114,3.284660544658161
502,3,10,8,5,3.2846605446581605,3.54645993245731
503,3,11,7,5,3.54645993245731,3.8082593202564596
504,3,12,6,5,3.8082593202564596,4.070058708055609
505,3,13,0,5,4.070058708055609,4.331858095854758
506,3,14,8,5,4.331858095854758,4.593657483653908
507,3,15,9,5,4.5936574836539075,4.8554568714530575
508,3,16,8,5,4.8554568714530575,5.117256259252207
509,3,17,7,5,5.117256259252207,5.379055647051356
510,3,18,6,5,5.379055647051357,5.640855034850506
511,3,19,8,5,5.640855034850506,5.902654422649655
512,3,20,8,5,5.902654422649655,6.164453810448804
513,3,21,7,5,6.164453810448805,6.426253198247954
514,3,22,6,5,6.426253198247954,6.688052586047103
515,3,23,7,5,6.688052586047103,6.949851973846252
516,3,0,8,6,0.5714285714285714,0.7958280466849852
517,3,1,9,6,0.7958280466849852,1.020227521941399
518,3,2,8,6,1.020227521941399,1.2446269971978128
519,3,3,7,6,1.2446269971978128,1.4690264724542266
520,3,4,9,6,1.4690264724542266,1.6934259477106404
521,3,5,8,6,1.6934259477106404,1.9178254229670542
522,3,6,6,6,1.9178254229670542,2.1422248982234677
523,3,7,8,6,2.1422248982234677,2.3666243734798815
524,3,8,9,6,2.3666243734798815,2.5910238487362953
525,3,9,7,6,2.5910238487362953,2.815423323992709
526,3,10,9,6,2.815423323992709,3.039822799249123
527,3,11,9,6,3.039822799249123,3.2642222745055367
528,3,12,6,6,3.2642222745055367,3.4886217497619505
529,3,13,0,6,3.4886217497619505,3.7130212250183643
530,3,14,7,6,3.7130212250183643,3.937420700274778
531,3,15,7,6,3.937420700274778,4.161820175531192
532,3,16,8,6,4.161820175531192,4.386219650787606
533,3,17,0,6,4.386219650787606,4.6106191260440195
534,3,18,10,6,4.6106191260440195,4.835018601300433
535,3,19,8,6,4.835018601300433,5.059418076556847
536,3,20,8,6,5.059418076556847,5.283817551813261
537,3,21,10,6,5.283817551813261,5.508217027069675
538,3,22,7,6,5.508217027069675,5.732616502326088
539,3,23,7,6,5.732616502326088,5.957015977582502
540,3,24,8,6,5.957015977582502,6.181415452838916
541,3,25,7,6,6.181415452838916,6.40581492809533
542,3,26,8,6,6.40581492809533,6.630214403351744
543,3,27,7,6,6.630214403351744,6.854613878608157
544,3,0,7,7,0.5,0.6963495408493621
545,3,1,8,7,0.6963495408493621,0.8926990816987241
546,3,2,8,7,0.8926990816987241,1.0890486225480862
547,3,3,7,7,1.0890486225480862,1.2853981633974483
548,3,4,6,7,1.2853981633974483,1.4817477042468103
549,3,5,8,7,1.4817477042468103,1.6780972450961724
550,3,6,7,7,1.6780972450961724,1.8744467859455345
551,3,7,7,7,1.8744467859455345,2.0707963267948966
552,3,8,8,7,2.0707963267948966,2.267145867644259
553,3,9,8,7,2.267145867644259,2.4634954084936207
554,3,10,6,7,2.4634954084936207,2.6598449493429825
555,3,11,8,7,2.6598449493429825,2.856194490192345
556,3,12,9,7,2.856194490192345,3.052544031041707
557,3,13,7,7,3.052544031041707,3.2488935718910694
558,3,14,6,7,3.248893571891069,3.445243112740431
559,3,15,0,7,3.445243112740431,3.641592653589793
560,3,16,9,7,3.641592653589793,3.8379421944391554
561,3,17,8,7,3.8379421944391554,4.034291735288518
562,3,18,8,7,4.034291735288518,4.230641276137879
563,3,19,10,7,4.230641276137879,4.426990816987241
564,3,20,10,7,4.426990816987241,4.623340357836604
565,3,21,9,7,4.623340357836604,4.819689898685966
566,3,22,7,7,4.819689898685965,5.016039439535327
567,3,23,9,7,5.016039439535327,5.21238898038469
568,3,24,8,7,5.21238898038469,5.408738521234052
569,3,25,8,7,5.408738521234052,5.605088062083414
570,3,26,6,7,5.605088062083414,5.8014376029327765
571,3,27,8,7,5.801437602932776,5.997787143782138
572,3,28,8,7,5.997787143782138,6.1941366846315
573,3,29,7,7,6.1941366846315,6.3904862254808625
574,3,30,9,7,6.390486225480862,6.586835766330224
575,3,31,6,7,6.586835766330224,6.783185307179586
576,4,0,5,0,5.0,6.570796326794897
577,4,1,6,0,6.570796326794897,8.141592653589793
578,4,2,0,0,8.141592653589793,9.71238898038469
579,4,3,7,0,9.71238898038469,11.283185307179586
580,4,0,8,1,2.5,3.2853981633974483
581,4,1,6,1,3.2853981633974483,4.070796326794897
582,4,2,0,1,4.070796326794897,4.856194490192345
583,4,3,7,1,4.856194490192345,5.641592653589793
584,4,4,6,1,5.641592653589793,6.426990816987241
585,4,5,6,1,6.426990816987241,7.21238898038469
586,4,6,5,1,7.21238898038469,7.997787143782138
587,4,7,5,1,7.997787143782138,8.783185307179586
588,4,0,9,2,1.6666666666666665,2.1902654422649652
589,4,1,8,2,2.1902654422649652,2.7138642178632644
590,4,2,7,2,2.7138642178632644,3.237462993461563
591,4,3,7,2,3.237462993461563,3.761061769059862
592,4,4,6,2,3.761061769059862,4.284660544658161
